fen_board,cp_score
rnbq1b1r/ppp2kpp/5n2/3p4/3PP3/8/PPP2PPP/RNBQKB1R w KQ - 0 6,0.0099
rnbqkb1r/ppp2ppp/3p1n2/4N3/4P3/8/PPPPKPPP/RNBQ1B1R b kq - 1 4,-0.0557
rnbqkb1r/pppp1ppp/8/8/2Bpn3/5N2/PPPQ1PPP/RNB1K2R b KQkq - 1 5,-0.1113
rnb1kbnr/pppq1ppp/3p4/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 2 4,0.0141
r1bqk2r/pp3pbp/n2p1np1/2pP4/4P3/2N2N2/PP2BPPP/R1BQK2R w KQkq - 4 9,0.0111
rnb1kbnr/ppp2ppp/4p3/3p4/3PP2q/2N5/PPP2PPP/R1BQKBNR w KQkq - 2 4,0.0242
rnbqkbnr/pp2pppp/3p4/2p5/1P2P3/5N2/P1PP1PPP/RNBQKB1R b KQkq - 0 3,-0.0035
rn1qk2r/1b2bppp/p2ppn2/1p6/3NP3/1BN5/PPP1RPPP/R1BQ2K1 b kq - 5 10,-0.0057
r1bqkb1r/pp2pppp/2n5/3p4/3PnB2/2PB4/PP3PPP/RN1QK1NR w KQkq - 3 7,0.0103
rn1qkb1r/1b3ppp/p2ppn2/1p6/3NP3/1BN5/PPPQ1PPP/R1B2RK1 b kq - 3 9,-0.0027
r1bqk1nr/pppp1ppp/2n5/1B2p3/4P3/b4N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,0.0524
r1bqnrk1/pp1pppbp/6p1/n3P3/3N4/1BN1B3/PPP2PPP/2RQK2R b K - 2 10,-0.0124
rnbqkb1r/ppp2ppp/5n2/3p4/3P4/2N5/PP1QPPPP/R1B1KBNR b KQkq - 1 5,-0.0101
r2qkbr1/pp1b1ppp/4pn2/n2p4/3P1B2/2PB1N2/PPQ2PPP/RN2K2R w KQq - 2 11,0.0184
r1bqk2r/2p1bppp/p1np1n2/1p2p3/4P3/1B3N2/PPPP1PPP/RNBQR1K1 w kq - 0 8,0.0086
rn1qk2r/1b2bppp/p2ppn2/1p6/3NP3/1BN2P2/PPP3PP/R1BQR1K1 b kq - 0 10,-0.0005
rnbqkb1r/ppp1pppp/5n2/3p2B1/2PP4/8/PP2PPPP/RN1QKBNR b KQkq - 2 3,-0.0066
rn1qkb1r/4pppp/3p1n2/2pP4/8/2N2N2/PP2bPPP/R1BQKB1R w KQkq - 0 8,0.0634
r1bqk1nr/ppp2ppp/2n5/8/1PBpP3/5N2/P2N1PPP/R2QK2R b KQkq - 0 8,-0.0091
rnbqkb1r/pppp1ppp/5n2/4p3/4P3/5N2/PPPPQPPP/RNB1KB1R b KQkq - 3 3,-0.0076
r1b1kbnr/1pqp1ppp/p1n1p3/8/3NP3/2N3P1/PPP1BP1P/R1BQK2R b KQkq - 0 7,-0.0037
r1bqkb1r/pp3ppp/2np1n2/1N2p1B1/3NP3/8/PPP2PPP/R2QKB1R b KQkq - 1 7,-0.0411
r1bqkbnr/pp1ppp1p/2n3p1/8/1P1NP3/8/P1P2PPP/RNBQKB1R b KQkq - 0 5,-0.0145
rn1qkb1r/pp2pppp/2p2n2/3P4/6b1/2N5/PP1PPPBP/R1BQK1NR b KQkq - 2 5,-0.0205
r1bq1rk1/2p1bppp/p1np1n2/1p2p3/4P3/1BP2NP1/PP1P1P1P/RNBQR1K1 b - - 0 9,-0.0128
r1bqkbnr/pp1ppppp/2n5/2p5/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,-0.0024
rn1qk2r/1b2bppp/p2ppn2/1p6/4P3/1BN5/PPP1NPPP/R1BQR1K1 b kq - 5 10,-0.01
r1bq1rk1/pp1pppbp/5np1/8/3nP3/1BN1B3/PPP2PPP/R2QK2R w KQ - 0 9,0.0084
rnbq1rk1/1pp2pbp/p2p1np1/3Pp3/2P1P3/2N1BP2/PP4PP/R1NQKB1R w KQ - 1 10,0.015
r1bqkb1r/2pp1ppp/p1n5/1p2p3/B2Pn3/5N2/PPPB1PPP/RN1Q1RK1 b kq - 1 7,-0.044
rnbqkb1r/p1pp1ppp/1p2pn2/2P5/3P4/5N2/PP2PPPP/RNBQKB1R b KQkq - 0 4,-0.0171
rnbqkb1r/pppp1pp1/5n1p/4p3/4PP2/2N5/PPPP2PP/R1BQKBNR w KQkq - 0 4,0.0305
rn1qkb1r/ppp1pppp/5n2/5b2/3PP3/2N5/PP3PPP/R1BQKBNR w KQkq - 3 6,0.0649
r2qkbnr/1pp2ppp/p1np4/4p3/BP2P1b1/5N2/P1PP1PPP/RNBQ1RK1 b kq - 0 6,-0.0075
r1bqk2r/1ppp1ppp/p1n2n2/2b1p3/B3P3/5N2/PPPP1PPP/RNBQR1K1 w kq - 6 7,0.0125
rnbqkbnr/ppp2ppp/8/4p3/2pPPP2/8/PP4PP/RNBQKBNR b KQkq - 0 4,-0.0143
rnbqkb1r/ppp1pppp/8/8/3PPn2/8/PP3PPP/RNBQKBNR w KQkq - 1 5,0.0605
