fen_board,cp_score
8/2r1nk2/4b1pp/B7/6PP/3p1P2/1P1R1K2/n7 w - - 0 47,-0.0081
8/1p3k2/2n5/2P3p1/7p/1P3P2/1bR2BPK/8 b - - 0 46,0.0447
5n2/1p2k3/p2Npp1p/P1P2p2/1P2bP2/2K3P1/4B2P/8 w - - 5 40,0.0315
2r2rk1/1b1q1pb1/1n1p2p1/p1p1n2p/Pp2PN2/2PPB2P/1PB3PN/1R1QR2K w - - 7 24,0.0026
2r1k2r/1b1nb2p/pn1pN1p1/1p4P1/4PP1B/PPq2Q2/1KP4P/3R3R w k - 0 20,-0.0146
1rb5/4bkp1/p2ppn2/8/3NP3/2qPB2Q/1P5P/1K3RR1 w - - 0 25,0.96
3r2k1/R2b2bp/6p1/2rn2P1/1pN3N1/1P1P1R2/2K4B/8 w - - 5 43,0.0182
r3k3/3nNpp1/p1qp4/4pPP1/4P2Q/4N3/8/4R2K b q - 0 27,0.0815
3r2k1/6p1/5p1p/1b2p3/1P6/2R1B1P1/1PK2RP1/6r1 w - - 15 38,-0.0095
r1bqk2r/3nbppp/p2p1n2/1p2p3/B2PP3/5N2/PP2QPPP/RNB2RK1 w kq - 0 10,0.0115
r3r1k1/6p1/4Qp1B/1p2p3/3b4/1P6/P4PPP/3R1RK1 b - - 0 29,-0.0009
6k1/6p1/p4p2/3p4/2r4p/6B1/1PP1r1PP/2R1N1K1 w - - 0 34,0.0176
2rr1k2/1q2b1p1/3pQ1Pp/p7/7P/P1P5/2P5/1K1RR3 w - - 1 28,-0.0427
1r3rk1/1q1bppbp/p2p1np1/PnpP4/N3PB2/5N1P/RP1Q1PP1/4RBK1 b - - 6 18,0.0037
2r1rbk1/1p1n1ppp/p2ppn2/q7/2PNP3/1PN5/PB2QPPP/3R1R1K w - - 7 15,0.0087
6r1/p3n2p/1kp2p2/N3p2P/1P2P3/P3KP2/8/6R1 w - - 3 36,0.0164
r2qkbnr/p3pppp/2p5/2p1p2b/6P1/5N1P/PPPP1P2/RNBQ1RK1 b kq - 0 8,0.0019
r6k/5p2/1R1p1Pp1/4p1Pp/1P2P2P/1Pn1B3/3K4/5b2 w - - 0 47,0.0256
6k1/8/r5p1/3n1p1p/3P4/B6P/6P1/5R1K w - - 1 51,-0.0053
r1bq1rk1/p4pbp/1pn2np1/2p1p3/4P3/2P2N1P/PPB1QPP1/RNBR2K1 b - - 1 11,0.0014
4B1R1/2k1p3/1p1p3P/p7/5pb1/1P2b3/2P5/1K6 b - - 1 42,0.0248
k1r4r/1p1nbb2/p1qppp2/6p1/P2BP3/2N2B1P/1PPR1QP1/1K1R4 b - - 4 29,-0.0011
r1b1kb1r/5p1p/3p1p2/p1q1pP2/1pP1P3/3Q4/PP2N1PP/R2N1RK1 w kq - 1 17,0.007
1r5k/1r4p1/p2Q3p/P3pPp1/1P6/3P3R/6P1/6K1 w - - 0 49,0.89
4k2r/1b1nb1pp/p2pp3/qp4P1/4P3/P1P1B3/2P2Q1P/1K1R1B1R b k - 0 21,-0.01
2r1k2r/1b1np1q1/p2p1p2/1p4Nn/4P3/P2BB2P/2P1QKP1/3R1R2 w k - 0 25,-0.0241
r1bq1rk1/4ppbp/p1np1np1/1p4B1/4P3/1NN5/PPP1BPPP/R2QR1K1 w - - 0 11,0.0041
4R3/6rp/8/4p3/5p1P/2kn1P2/8/5K2 w - - 8 58,-0.1147
2r2rk1/4qp1p/3p2p1/p2Pb3/1p2P1P1/3B1R2/P1P2Q1P/5R1K w - - 8 28,-0.0116
1nb1kb1r/r2n2pp/p2pN3/1p1N2P1/4P3/4B3/PPP2P1P/R3K2R b KQk - 2 14,-0.0095
